"trade_date","country","beta","size","momentum","book_to_price","residual_volatility","liquidity","profitability","investment_quality"
"2008-01-02",0.019577,-0.001842,-0.002088,-0.00264,0.000801,-0.001924,0.003261,-0.001446,-0.001578
"2008-01-03",0.011697,0.001641,-0.002245,-0.002731,0.001292,0.001407,-0.000578,-0.000797,0.000216
"2008-01-04",0.009627,0.000363,0.002575,-0.001386,0.000959,0.005816,-0.000687,-0.001219,0.000163
"2008-01-07",0.01452,0.001328,-0.002407,0.000932,0.004119,0.003961,-0.000656,-0.003625,-0.002049
"2008-01-08",-0.014146,0.000957,0.004539,0.000934,-0.001825,-0.000245,-0.00216,0.001156,0.00105
"2008-01-09",0.020492,0.002087,-0.003371,-0.000614,-0.000249,0.000073,0.000605,-0.000279,0.000125
"2008-01-10",0.009861,0.000209,0.000417,-0.000841,0.000114,0.003957,-0.00214,-0.00159,-0.000499
"2008-01-11",0.002592,0.001458,-0.001553,0.001564,0.001263,-0.000747,-0.000314,0.000547,0.001991
"2008-01-14",0.00967,0.000427,-0.003805,0.003577,0.003566,-0.003935,0.000448,0.002175,-0.000301
"2008-01-15",-0.001558,0.001055,-0.004657,0.000902,0.000632,-0.000667,0.000006,-0.000799,-0.000075
"2008-01-16",-0.028034,-0.003551,-0.005999,0.001128,0.001011,-0.002438,0.00232,0.00086,-0.000381
"2008-01-17",-0.024083,-0.001725,-0.000092,-0.003252,-0.000599,-0.000375,-0.00342,0.000823,0.000087
"2008-01-18",0.009017,0.001468,0.002876,-0.00099,0.000612,0.000511,-0.002195,-0.001204,0.002195
"2008-01-21",-0.047688,-0.004626,-0.000795,0.001085,-0.000858,-0.002048,-0.005049,-0.001997,0.000285
"2008-01-22",-0.081314,-0.002629,0.002169,0.002506,-0.002101,-0.001881,-0.005126,0.002636,0.001149
"2008-01-23",0.051291,-0.001719,0.002445,0.002438,0.001769,-0.002908,0.002202,0.002653,-0.001545
"2008-01-24",0.01821,-0.003313,-0.003126,-0.002479,0.00036,0.001466,-0.00005,-0.002836,-0.002443
"2008-01-25",0.007721,0.005555,0.001673,-0.001178,0.00073,0.003496,-0.003757,-0.001447,0.000716
